regret: 19	maxRegret: 332.79	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 20	maxRegret: 332.91	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 20	maxRegret: 332.91	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 21	maxRegret: 333.03	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 21	maxRegret: 333.03	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 22	maxRegret: 333.15	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 23	maxRegret: 333.27	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 24	maxRegret: 333.39	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 25	maxRegret: 333.51	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 26	maxRegret: 333.63	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 26	maxRegret: 333.63	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 26	maxRegret: 333.63	weights: (0.119, 0.091, 0.112, 0.105, 0.098, 0.098, 0.098, 0.091, 0.091, 0.098)
regret: 26	maxRegret: 333.75	weights: (0.118, 0.090, 0.118, 0.104, 0.097, 0.097, 0.097, 0.090, 0.090, 0.097)
regret: 27	maxRegret: 333.87	weights: (0.118, 0.090, 0.118, 0.104, 0.097, 0.097, 0.097, 0.090, 0.090, 0.097)
regret: 27	maxRegret: 333.87	weights: (0.118, 0.090, 0.118, 0.104, 0.097, 0.097, 0.097, 0.090, 0.090, 0.097)
regret: 26	maxRegret: 333.87	weights: (0.117, 0.090, 0.117, 0.103, 0.104, 0.097, 0.096, 0.090, 0.090, 0.097)
regret: 27	maxRegret: 333.99	weights: (0.117, 0.090, 0.117, 0.103, 0.104, 0.097, 0.096, 0.090, 0.090, 0.097)
regret: 27	maxRegret: 334.11	weights: (0.124, 0.089, 0.116, 0.103, 0.103, 0.096, 0.096, 0.089, 0.089, 0.096)
regret: 27	maxRegret: 334.23	weights: (0.123, 0.088, 0.115, 0.102, 0.109, 0.095, 0.095, 0.088, 0.088, 0.095)
regret: 27	maxRegret: 334.23	weights: (0.123, 0.088, 0.115, 0.102, 0.109, 0.095, 0.095, 0.088, 0.088, 0.095)
regret: 27	maxRegret: 334.23	weights: (0.123, 0.088, 0.115, 0.102, 0.109, 0.095, 0.095, 0.088, 0.088, 0.095)
regret: 28	maxRegret: 334.35	weights: (0.123, 0.088, 0.115, 0.102, 0.109, 0.095, 0.095, 0.088, 0.088, 0.095)
regret: 28	maxRegret: 334.35	weights: (0.123, 0.088, 0.115, 0.102, 0.109, 0.095, 0.095, 0.088, 0.088, 0.095)
regret: 28	maxRegret: 334.47	weights: (0.122, 0.095, 0.115, 0.101, 0.108, 0.095, 0.094, 0.088, 0.088, 0.095)
regret: 29	maxRegret: 334.59	weights: (0.122, 0.095, 0.115, 0.101, 0.108, 0.095, 0.094, 0.088, 0.088, 0.095)
regret: 30	maxRegret: 334.71	weights: (0.122, 0.095, 0.115, 0.101, 0.108, 0.095, 0.094, 0.088, 0.088, 0.095)
regret: 30	maxRegret: 334.83	weights: (0.121, 0.094, 0.114, 0.108, 0.108, 0.094, 0.094, 0.087, 0.087, 0.094)
regret: 29	maxRegret: 334.83	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 29	maxRegret: 334.83	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 29	maxRegret: 334.83	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 29	maxRegret: 334.83	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 30	maxRegret: 334.95	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 30	maxRegret: 334.95	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 30	maxRegret: 334.95	weights: (0.120, 0.094, 0.120, 0.107, 0.107, 0.093, 0.093, 0.087, 0.087, 0.093)
regret: 29	maxRegret: 334.95	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 29	maxRegret: 334.95	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 29	maxRegret: 334.95	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 30	maxRegret: 335.07	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 30	maxRegret: 335.07	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 31	maxRegret: 335.20	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 32	maxRegret: 335.32	weights: (0.119, 0.100, 0.119, 0.106, 0.106, 0.093, 0.092, 0.086, 0.086, 0.093)
regret: 31	maxRegret: 335.32	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 32	maxRegret: 335.44	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 33	maxRegret: 335.56	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 34	maxRegret: 335.68	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 34	maxRegret: 335.68	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 34	maxRegret: 335.68	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 35	maxRegret: 335.80	weights: (0.118, 0.099, 0.119, 0.105, 0.105, 0.092, 0.092, 0.092, 0.085, 0.092)
regret: 34	maxRegret: 335.80	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
regret: 35	maxRegret: 335.92	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
regret: 35	maxRegret: 335.92	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
regret: 36	maxRegret: 336.04	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
regret: 36	maxRegret: 336.04	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
regret: 36	maxRegret: 336.04	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
regret: 36	maxRegret: 336.04	weights: (0.117, 0.099, 0.125, 0.105, 0.105, 0.091, 0.091, 0.092, 0.085, 0.091)
